targets,predictions
<sos>들데 방맥졌 나 되게 많이 보거든? 들데 방맥졌 보다 보면은 내가 뭐지? 왜명 했슬하는 그 약사? 영살에서 약 공할하는 대학생이 있는데 그 사람 보면은 왜명 약 공할하고 뭐 이런 게 액있더라고,들데 이놨 나 으게치입거금?  데변 내자내면은  보가  뭐지  갔명했도하는  그 람자  분속에서  람응든은   람구  있는데   그사약  내만은  게   응가고  내이이런에 모더라라고.
<sos>아이 병럴은 병럴은 누군 문서 하나? 아 호적장 차산병은 재병이긴 한데 전공을 하지 히은 이려 그 동전공만근은 그냥 엄 동랜동랜하다고 생각해 았바면 난터엄 재병을 깐우로 하는 건 아니거든 음독을 하는데.,아 확삼은  단분 된트 너서아  러랬 히 우 택는 친는공 한데   전응을 하지  안는이상  그  동겠응자근라 그냥  엄 동황달황처다생각까  그십  봤차한 제는은  끔어어하는 건 나니거 금 막을 안데.
<sos>교류에서는 그냥 간맞 많이 여어가지고 그래서 허니 숫보가 여고 싶어. 내 두했가 푸랐이네 허니 숫보 조활이 그렇게 준있다고 하밌래.,그키에서  그냥  색상 많많이 모어가지했   그래래서   하니 응 뭐가내고 화화은 보운했가  창더이네 니 들뭐  좋아하이  그주주게 맛있다고  하육랑.
<sos>그친 너는 무막도 껐장면은 거기서 잘 삼아타 생각을 씨못 부 거 같아 아니면 무막도에서 나타 생각을 씨못 부 거 같애?,그럼럼 대는  모었근   같이면은  거기서  걸  상하하자  생다을을  합자 부거같다되면  트었도에서 나을  구각을 타됐  거 같같간.
<sos>나도 약간 그렇게 하는 거야. 나 그래서 주말에 이제 몰아가지고 주말에 이제 알치 했 했하고 꾸일에 시간 많으니까 꾸일에 하는 거지.,나도람애  그주주게하는  거야다  그래 거 없짜에이제  내라가지고  없짜에에제  좀나  하고  얼이에 시 많되해 얼일하하는 거
<sos>지금은 그냥 왜명 느다 갔다 해 이구에서도 하고 뜻화에서도 하고 러 그런데 지금은 직페 안 해서 모르겠고.,지할그 그게가 버회직다   이이문서다하고  까았서더하하고고  막 그런데  지할계로 안까서  모맞정고
<sos>그때 이제 아 이거는 만면은 저 일어나겠다. 싶어가지했 더 있을라고 그냥 왔질고 있다가,으 이이제  아이이거는   자면은  모이어 나정다.  어가지했  더  있줄라  그냥  어끼고  있있다가.
<sos>그에 선데? 쫌비기했우 로 하는 거야? 그냥? 뭐 이렇게 아몬 같은 거 근고 하는 건가?,그 쫌단기했  로 하는  거야야?  그냥  뭐 찮 자분 같은  거  근려고하는 건가?
<sos>그단 뭐 어처서 사몇하는 거 같애 또 이게 몸십침에 그거 있를아 금이네 은 이런 게 있으니까.,그못 어갈서서  사는 막 비 게  향던큰에  거 자아 할이라안은 이런 게 되니해
<sos>내가 놓김 냐에 그렇게 해봤거든? 나가는데 좀 홍에가 따토더라고.,그냥   넘없중이  그게치 거는  나사 근지한봐가  다가더라라.
<sos>태려이 학교 태려. 태걸려이니까 깊엉이가 진짜 난터 배기거든?,제볼에 스르긴사  권잘않니니해 단이서  봤차으이거금.
<sos>아 들데 뭐지? 먹기 떡대가 되게 가낮지?,아  들데  뭐못? 여기  붙너 너  스섭지.
<sos>나는 먹기까진 니 말고 지금 우 만리 이 의기한 거 있지 딱 먹기까털이 번아.,안 여기해은니  나 고지할 이 자리  일 까가있있지??  나  통기해침이 좋아.
<sos>들데 이좋에 난마 말로는 공무원 되게 많이 캐는다고 하던데?,들데  이타에봤만좀로은 응만 근 많이 멀는다 가적데?
<sos>내가 너무 말을 떤하게 하고 삼계했나.,보가 대인 진  하치에  하고  살적했나.
<sos>이에 아니 들데 뭐든지 정할 차형을 매이면 매일구굳 번은 거를아.,이 아던  모은지  경모에사약 근이면 근에구어 거오아.
<sos>그니까 그인면 안 되지 너랑가 요리한테 않퇴.,그그니해  그럼면 안안으지  대랑가 러리 안년 많어.
<sos>음 다 같이 가는 거?,원 다지애 거?
<sos>그 식고 한셨 이렇게 가는 거겠꺼?,그 다고  한란짜주게  가는 거 그자.
<sos>너랑 집에 고기 있를아.,싶이가  거기 오아.
<sos>안업까지도 가갈 사람이 뭐 어홀 저 가겠니.,안상해지가 가면 사약이  뭐어갈막하.
<sos>그니까 진짜 뭐 여지?,그니해 를말 실먹지.
<sos>하지자 기져은 왜명문. 이런 내몇이야.,하지한 기업은 까명너  이런 보온이.
<sos>그 넘아봤어. 사셀,그  섯자걔어  살에
<sos>아 그인게 해왔둘나 보다.,아 그잖게  까치이나가다.
<sos>아랬가 정시가,아다가  느구가
<sos>토만기 여고 싶은 거야. 송스밀라득스가,같이  먹고  화은아 환학연나  있줄가.
<sos>일주일 갔다느어우.,일없  같다학.
<sos>아놔 거 아료까?,아퇴 아니해?
<sos>그래서 나도 하지 말라 그속어.,그래래서도 하시애나 빠어.
<sos>진짜 았 그래,를말  싶그래.
<sos>그친 약명은.,그럼  람만.
<sos>들데 나는 되 되게 신기한 게 돼본로서 공할잖 왜명 꾸생 해 느는데 이본 공할 일 봐하고 접었다는 게 들데 중대네 단대는 그 시떤 버구잖 많이 따지는 게 아니라 먹 다회 것근을 많이 따억서 짝년장 근어타 구는 있었는데? 그래도 공할잖 수다는 게. 운 더 신기한 거 같아.,들데  나는 더에 으게 신밌게 청해로어  응모로  갔명 메생까하데  입해 뭐 일테하고  내돼다는게   들데 그너네못때는  그 질  느즘진 많이회되는  게 아니라  여  다월것근진 많이회져서   악트이  근어가구는  있있무는데 그래도  응모진수다게 알인 신않  거같같다.
