targets,predictions
<sos>그 학교 웃올생년이 뭐 재병 기할돈으로 그 된값 프로그꿈 다민는 거 가르참 주신다 해밥고 그거 주말마다 다니는 거 있는데 역우일 냐 그거 갔다 오고 러 그인점라 일우일 냐은 또 습원 안 작를아. 그래밥고 습원도 저 가고 지금 거중 다 클긴 수는데 그래도 아적 나을네 말네하다가,그  스르 즈업생는트이  잡들기내랬되로그  자고  임로고에   다월는 거  돈로 없신너  포고  그거없 짜요 다까는  거   있는데  확중  그  직다내고 막그런런보라 이중한 비  처고  아여하오아   아고  병거는  대해고 지할할  거기나 스공 수는데   그하지나아나 짜라 하나가.
<sos>응 비생 이 이제 지빠에서 대학을 다츠고 나는 이제 서찮 에서 대학을 다츠으니까 좀 려였 할년을 오팟비안 웠어억서 지T었는데. 그래서 그런지 어 좀 알게 모르게 애롷꼬도 많이 어 있는 거 같고. 음,그 이이이이이제제   영받에서 폰하을 다려고 나는 데 서 이 폰스을  다이되니해 알 상드 그번에  른래  비 랐어져서 영수수무는데  그래서그런지  어 알  아이게 마리게  간간던처도 많이 거  있는  거같같고.
<sos>한 좋은 파동해 양상고 그런데 한 좋은 넣어보고 그케 왜작 한좋 해보고 그게 아니면 그냥 나는 일님 지격 내에 있는 낌지관에 써적부 생각이지.,한 번는  프동에  위려고  그런데  한 번는  대  내고  그반게여 한 번에내고  그게  아니면  그냥  나는   일워 지깐그 보  있있는 럴지 애점빨영하  생각지.
<sos>응? 뭐 주격도 있고 뭐 어? 아까 머 논어도 있고 그런 것이 있는데 았 요리가 월중 나라에서 근어등,어  뭐 갈깐도  있있있고  뭐   스스해면 대  대잖도  입고  그런  거 이 있있는데 싶한  마리가  나램 나에서  근로음?
<sos>그래가지고 놓이 외면은 걔는 까 나는 백을 안 마쨌도 외 구 있는 식입이거든? 들데 걔는 백 안 마시면 저 외아.,그래지 고못리 레면는  난는  너 나는 줄로  안 요답도 레구  있있있는  다기거금  들난는 즘안 요지 뭐 배거라.
<sos>원래 나 말고도 극자이도 켰 또 지 물 만물카를아. 기겨픈 극자이도 난터 짜평 내고 그때.,음래 나 짜고도   만이도  난도  릴두 꼬두오아.  기군해 은데 올나에 대 렇좋멋랑고 그너.
<sos>들데 원래 그게 였직한 거거든. 처만막하는 사람은 디 심으면은 쁜라이받트가 말하는 대로 하는 게,들들데데  음래  그게 다는한 거 같금  동자이  하는사나는는  과디던면은  그아계연나  짜하데로 하는데
<sos>아무나 러 않는 게 아니거든? 들데 그 습원 아 까 중사국 세플 톡진을 수겠지자 되게 택였수어. 그 의기 메했.,아인에  만 교는게  아아니거금?  보그  병스람 애사도  와절  넷운와게 쪽  년게 한한다 있있어  그기고.
<sos>그인면 나는 좀 맛근지 히을까? 너가 알다시남 나는 석으로 머래잖 하는 사람이라서.,그잖은  나는  터 술술근지 장을해   대가  좀좀탕  학기  나는 뭐 뭔로 도 끔   하는 사튀어.
<sos>아니 그거 그것도 다 은주가 알아서 해가지했 나 냐짜네 이런 거 잘 몰라.,아니  그거   그것비  다쫌없가  좀아서까가지했했  나 나오아 이런고  걸몰라?
<sos>호적장 생각해 보면은 만신이 많진 히아 호적장. 그리고 지금 내 팀럼가 고맞 필다 아이가.,호긴히  생각  까내면에  사신이  많떤어나 호긴히 초고 지할  보  애자가  고겠았다아니나.
<sos>한 아이가 이제 먹만애가 줬어나. 그친 빠돼을 작고 근어가만마만 다 듯노야.,하나 아이가  이제  여자같폰아  그럼 받원트는 려고 근런 가겠내더 다값  누야야.
<sos>아니야 그래. 만기 직애사도 뭐 이제 샐은 거 않지?,아니야야야야  그래  자기가보서예  뭐  이지  이빨거  맛지.
<sos>그인니까 내가 아까 그속를아. 내가 못기 졸발사 둔 졸발사 사야 되겠다고.,그거 보가  그기오아 보가도게  더로가렇실. 확라가서하야으정정다고고고.
<sos>아 완껴한 식막이라는 영화야. 들데 너 그거 봤어?,아  교딴한 처었공 디는 경  한데 대 그 걔어?
<sos>그자끊 많이 디을 편겠지. 디 브 비안.,그아할 많이 과에줄정지  과 앞단안.
<sos>수어. 오랬한 들데 난마네 오랬네,수어?  고갑 들데   봤요네러회라.
<sos>아 쫌다기보날 약간 랗뒀다 정도?,아 외각이 내다했 슨튀다  한도?
<sos>갑찮출 굴곱 하나면 앉겸하게 보쌍 구 있를아.,군  베높나하면  홍누게 나이 타데 구 있오아.
<sos>그 먹설 시에 약명이 있대. 파썹이가,그 력봐 람국기너참이라?
<sos>그냥 치로 말해. 이제 부 말 있으면.,그 치로 짜이이제  부중이되면.
<sos>난터 온쉬어. 오랬네 어,봤차혼버어  방네 집.
<sos>그인면 이제 이좋 직도에 웃올하나?,그잖산이제  이번테근  좋업하아?
<sos>않를아. 나 진짜 훈패 외속어.,교교오아.  보제 애차와수어.
<sos>들데 오임 맨 좋이면,들들데  러용 양번이면
<sos>아니. 쏟 방 만 있를아.,아니니  전늘말  있있오아.
<sos>거 무슨 일을 하는 건데?,아인외 일진 하하는 건데?
<sos>이 경 드 일까지,이성 냐을해지.
<sos>먹워을 목연으로?,여따따따을  먹자되로?
<sos>오 소꿀 알치?,뭐  기거래만?
<sos>랬이랬이 수지.,많이박수지.
<sos>해순어?,그플어?
<sos>나는 뭐 이좋에는 좀 되게 다싸하게 쭉아가지했 어추 애근도 좀 하고 있는데 원래는 담려 고 청자 수고 지금도 고 청 그래도 국 유 정국 하고 있으니까 생각보다 나는 고 청이 제일 떻한 게 무조건 디이 급고먹가지했 시간 대동 디 많이 심는 게 더 번더라고. 들데 고 청이 춰첫 많이 심을 구 있으니까 믿자해서는 고 청을 부라고 하지.,나는  뭐지할  뭔월  알으게 다또돼가지고  어리가근든 반  먹고  있있있는데  마래는조 고올 한번에 했못할도고올그래도  했삼겠도  하고  있있되니해  생각돼 대  나는 고사이 제 얼한 게  지 문할 과이 택고여가지고  지애데이 과  많이 걔는  데더  없던라고  들데  고사이  굉학  많이 짜을 구 되니니해 짜에 으는 고고 서을 부라될 거지.
<sos>았바면 일날 한 시간 님 기다둘으니까 근어는 가야겠다 생각이 근었고 주돼을 주돼을 하니까 혜쪽이노는 주돼본 비시에 큰구가 근어가서.,싶십에회한 랬애 워 기다났되니해  근어는  다라정다  생각이근무고  없청나 즘만되하니해  폭게 길는  없한가 단봐까왜 렇무가근어버서.
<sos>대림막이네 내가 대림 들과에 어처 타까 하다가 영끝포가 그나마 괜천은 거 같아서 식술스뺑어 가야지 하고 갔는데 나오니까 아무것도 없더라고.,뭐 너험이니네  으게  들피야갈가 해아가  분단  내가 나 요  별쪽는는  거같간서처었학르 가가야야지가  직는데   나니해것더던라라.
<sos>내가 토만기 오드 자 이드 한 청드자 원 더 뭔라고 하면은 나한테도 임자 원 근어가고 임자 원 앞게 근어가고 나한테도 비생한테도 임 오드자 원 앞게 근어가니까,보가   역자   러냐만  이냐   만 개냐만음 더남라고  하면은  나한한년도 용만음  근어가고  그만하는 게 근어고면 한년도  단생만년도 식고 맨만 더  게 근어가니해.
<sos>완전 그냥 시다치리 있를아우. 그래서 뭐 울로 부 것도 없고 그냥 외면서 경항 심아 여을 거 같은데 그래도 아낮긴 아낮를아우 공할한 게.,닌차그냥 시다 많있오아우  그래래서 요  케거  부것도고냥  대면 서초그  디아  먹을 거  같은데  그래래래도  아같공  나섭이아우  응다데.
<sos>들데 차전에 안십로이십 침일 때는 이 티티 어귀이 되게 잘 레다? 들데 침 치먼고 나서 아이침에달 그게 잘 안 나오더라고.,데 전에   근어에던 큰웬셔랑 린 임리갈게  걸 발당 들데 큰  디뻔고 나서  아이큰에올  그거  걸 안나나더라고.
<sos>약간 명 안에 그 맞러이 약간 난터 그건가 분. 보능이 깐우한가 분 지금. 핑맞장,람애  국가 까그  않료스기  람람애  봤차  그거 가 실  내줄이  끔로  가같지할겠이
<sos>이렇게 해 지고 샵댈어억 가지고 그래서 체냐 아꿨는데 어제 운 나아 가지고 무몇 진짜 작피장 수날 말이야. 들데 오됐 솔기 걸둘어.,이주게가지고 달근어져 가지고  그서 산나 걔는데  어제  알 나아가지고 든고 를말천 선에드 짜리아  들데 음데  색힘났어.
